F7,F3,Fz,F4,F8,T7,Cz,T8,P3,Pz,P4,PO7,PO8,Oz
0.116840515590073,0.103794968807122,0.0599701983941465,0.0318340134928109,0.0533288239744342,0.111711291334129,0.0819228000927305,0.0317668487837837,0.217925145838344,0.115382567151837,0.0298585208140749,0.133349253968737,0.0642321306579317,0.189029159390969
0.0113811388408461,0.0130902656231702,0.013007084490386,0.0140911184190706,0.0150716086044072,0.0367234024551234,0.0140066236840161,0.0149149627015402,0.015356776962299,0.0129833555194335,0.0124014346614296,0.0134781140159639,2.52953228608157,0.0135490177348281
0.172352385277134,0.194759784208316,0.206156007260049,0.208523566875089,0.235285928178738,0.0436652507664964,0.292991760087722,0.415873480948514,0.158277854557957,0.21585660932374,0.667475279021785,2.06785999374949,0.724143317574674,0.339497626861652
0.000605956454462033,0.00366295886888408,0.00984515711675437,0.0118455977512245,0.035797529135448,0.0162356490729641,0.0141340693402375,0.0747556711469777,0.36334208735215,0.150049404851025,0.039613933812453,0.0444538974018492,0.121227752908636,0.0111655629702338
0.29206078636412,0.19431341794788,0.162498647727788,0.154573762154501,0.169968584077528,0.442188682990838,0.11453482943654,0.0356637359841656,0.14840269997078,0.137376014996424,0.177143281653072,0.0816354324861959,0.407693059866845,0.18894978749326
0.372708682064194,0.325986102552708,0.29253606600969,0.454415002605911,0.248681565787015,0.714080047066937,0.231990892558832,0.233850984027909,0.0873764472810082,0.388040746954876,0.896071597775363,2.36027890016369,0.199096721627799,0.421690451532295
0.019821214962402,0.0134398550547935,0.0221788242392605,0.0330892170275634,0.0700914823170625,0.0390972784718405,0.0696030125090938,0.569688614819453,0.0884250181799871,0.0505006625142135,0.0414713319269677,0.0887738129382984,0.570527448716847,0.664113542494878
0.0777962968239391,0.0541587425606177,0.0752842566199589,0.0650171418710391,0.0308599479963587,0.281497535639112,0.103034487189836,0.0554651815901916,0.101229039768287,0.0783934934404765,0.0979999092399839,0.443439247145228,0.139868797700152,0.155313128304481
0.0419712180252344,0.0543726470872242,0.0845296913963493,0.0593170572302268,0.0126810171934031,0.014226561417338,0.115427446383404,0.0462398409543099,0.0555518408107371,0.144869539256044,0.0772937521681791,0.170491721980869,0.0737701413985537,0.0898432761892564
0.108901927262082,0.110776802776114,0.134005135087321,0.124317961041232,0.0761083281016043,0.0861152960788435,0.13005901322065,0.111472934902854,0.117587720654764,0.0945653099619481,0.20746388617253,0.398917602279842,0.808335583343571,1.73001534509252
0.116052423185873,0.095414146246858,0.0806732209127538,0.065876091734815,0.0820790987901983,0.0280923545928595,0.0835494768947136,0.112180720982955,0.0779339602284564,0.0999032637921892,0.10560278754927,0.606471348255991,0.326516977433962,0.0646199652624164
0.0332660883308834,0.0387861758159829,0.00941991199953138,0.0120552309556851,0.0193475635463995,0.286167305725288,0.0635232839056396,0.00183787661837545,0.0380900656161035,0.0435189820226442,0.0312161477370055,0.062441758394687,0.0428499103747022,0.0252245995088707
0.539546942709825,0.0479425971623458,0.0706505357795165,0.0408711291642109,0.0079935412267903,0.147161379708434,0.0834879298796442,0.036776865498925,0.21857379154099,0.136852363934834,0.0762329962644243,0.970155815868443,0.640941047872845,5.07656142020308
0.161445982523998,0.191260639294525,0.212981200696585,0.181707895965038,0.140915744205645,0.0735410347672283,0.116270126194077,0.0777861904742331,0.234404451394284,0.212599858663977,0.208621903703523,0.51946911107955,0.560454919815469,1.03963215080663
0.307635974054816,0.160630442164199,0.179094709144691,0.154035565359897,0.201666568087753,0.125761737942308,0.114711662447534,0.105959320421934,0.135056713958875,0.132117553079575,0.132850238222816,0.130310528256852,1.09065686644479,0.859028707681538
0.182554440252089,0.130667427020027,0.238212753147295,0.113376682800488,0.145009042812058,0.0232231568511414,0.12800319643152,0.00812416093901487,0.0689040823894757,0.278230229428701,0.284726356223491,0.0909016387487798,0.0162596002431162,0.427860559983466
0.111793572018197,0.143155891213192,0.0583905275241226,0.254043638017388,0.174818122649546,0.136227380453959,0.242088986717398,0.140118880024494,1.10291604333327,0.105860140540158,0.0730297648205193,0.0152424162677822,1.04800272023817,0.0793172879420752
0.208765003856839,0.144645900344691,0.181523678688838,0.111783726790587,0.165012699374128,0.372944682532424,0.143434878512126,0.0884703371964883,0.054366399977347,0.10535620385214,0.0943711132207071,0.070310964602591,0.254735086478732,1.67310800628269
0.160506512012163,0.0462421233472785,0.0945442803919479,0.0721051227418592,0.0531702543560405,0.0553265496170986,0.132014390648461,0.302764688598309,0.109053791786187,0.0842350496848218,0.0763860708976695,0.0817625008148027,0.332557956987323,0.118611000282747
0.155536811335494,0.149234639612765,0.152688627985521,0.103883445424812,0.0673417569433669,0.0145199574040867,0.120222186643326,0.0146659719478859,0.0696405452433193,0.147202178138315,0.207132603537123,0.0457532060435953,0.161156744304859,0.0381633032099672
0.0574499255445918,0.0277541655834703,0.0411909722219503,0.0271422503821828,0.0395051741121779,0.252028049603072,0.0775232754084659,0.0265770287417685,0.531472534482033,0.0975100239811684,0.118999303634725,0.0173835079983223,0.0368047031915043,0.0190669393610789
0.00638254990712501,0.0297221083253747,0.0379151409615534,0.0241333075530084,0.0132066510923118,0.0153658860609662,0.0384287003076427,0.0278712902056389,0.0733657832813577,0.0318847855053743,0.0544953910852509,0.140767814823287,0.0955021862460482,0.14830911232017
0.122558883054916,0.0697075173047754,0.0802421815627961,0.0661400810466515,0.075088344005536,0.0607386636568607,0.145761353528384,0.131764941427159,0.177716304401673,0.170191119497718,0.178229215340965,0.642897598033899,0.250193935531101,0.0678289777888678
0.0202399614459286,0.0472545971572161,0.0676869629144617,0.0530468568838198,0.0342993370643523,0.0645115176966987,0.0732585220539073,0.0411159501416319,0.106554550994469,0.144803423161547,0.106210960240685,0.0453983815484839,0.0721187720606407,0.0200596355798786
0.198867379884781,0.0780100372119752,0.0962154838843264,0.0683113179984269,0.0875484692340268,0.170111433146293,0.0617658698815082,0.0406384583309199,0.314748153357221,0.256659274550501,0.475131648311325,0.186894781929647,0.489301414379507,0.0446383760710216
0.109787694655908,0.081441967535966,0.130979316105635,0.0616196999277965,0.093881925738603,0.0849121918970695,0.125475545746131,0.0302406290257259,0.0280715888046616,0.114420680143177,0.132340241198647,0.347405885057536,0.185970130146839,0.222691668204369
0.035353858644107,0.038719229790569,0.0503835866073127,0.0575107627487428,0.0338409332043082,0.0703943565759518,0.109429480376854,0.511789924831593,0.211109328864718,0.106245648398457,0.215043102371798,0.0989591519267185,0.0682559681113141,0.0710917041856922
0.0397805696747863,0.27779576760531,0.179616976288922,0.195488277761365,0.0659991355973594,0.0384448007750602,0.0551018491938344,0.142463656292619,0.102459241406582,0.0825213139904173,0.0741560334276078,0.257538508178637,0.144839458387582,0.0805078877783231
0.0268169513235926,0.0347035585346618,0.048454398493882,0.0470450605431148,0.0325635027193098,0.0697908906473478,0.0561354412780181,0.184916954632692,0.11953987105135,0.0280710466520029,0.177165888919816,0.347081552278355,0.320717573425689,0.0598629970318311
0.00927068247747996,0.0201821334696397,0.0343895340734643,0.0307074270768602,0.0146197197516189,0.030537625260852,0.0599238018133841,0.0262320979017486,0.0491237316943711,0.0588031575663954,0.165896714965655,0.884002841318644,0.0734802860848006,0.0222104999088965
0.0164949147570832,0.0413007698360179,0.05209513587751,0.0374492711833229,0.00658949866929242,0.0286525414119095,0.0934038937138672,0.0692613611707143,0.0870450764400904,0.0439863718445051,0.11129082308504,0.144583694648289,0.0759490743394653,0.0672950123966048
0.00521072415116337,0.0316026059586921,0.0825356262478463,0.0563785193329754,0.0122324724258432,0.0839277743452817,0.10266330049373,0.0475225194814371,0.159751398561549,0.148629128114864,0.128646134108415,0.0537830756816547,0.101243858168792,0.0434875838882102
0.0237974151501085,0.0485180191214392,0.0612665232734724,0.0467748566893429,0.0176281923598316,0.0242423627488944,0.0680096870404477,0.0217768122326757,0.0212262907557001,0.101113952832173,0.0807726093687293,0.20470252786025,0.15220682183906,0.109106415419396
0.0306073062294961,0.0425846024595165,0.0470942264483616,0.0563661217244547,0.0667106046648796,0.0053986514860876,0.0703824889223197,0.0207790067301901,0.100828950684047,0.0149658062190584,0.0546397887996268,0.418939365172158,0.071064885622547,0.288787463129324
0.57371487413243,0.166569218817186,0.119825679167344,0.131781379127424,0.325366590909976,0.141662387231233,0.139441162718089,0.0830540685638731,0.0690814807766377,0.0713565415324086,0.103359769629648,0.107083247214867,0.1352249360404,0.0680916382662145
0.043106310649236,0.112923841296709,0.157942310957492,0.131192034115692,0.0735467060879591,0.0351028896459857,0.230176890513211,0.15140514752114,0.513082383220634,0.360483986002643,0.226761741396301,0.533109269976303,0.284665041698467,0.0778545986489137
0.252532098271205,0.0233778303669364,0.0545041643587032,0.0320960474801684,0.175009312418311,0.0334658430785258,0.147251644853047,0.0767172726295072,0.258192388901145,0.225994965920321,0.119931908459464,0.0353428796714804,0.122248186294303,0.0280878878573568
0.0613567613130167,0.185389775737765,0.153004367122484,0.184114538510166,0.018667814439664,0.285985937509838,0.085763687427212,0.0265403496001552,0.0314676060764885,0.0796494081441644,0.105028597714366,0.0424789065965936,0.0656327305713851,0.0357588033930932
