ppNumber,Gender,Age,Handedness,VRExperience,PilotingExperience,Occupation,Nationality,NASA-TLX DESKTOP,NASA-TLX VR,SIM-TLX DESKTOP,SIM-TLX VR,SUS DESKTOP,SUS VR,SSQ DESKTOP,SSQ VR,Presence DESKTOP,Presence VR,Negativeeffects DESKTOP,Negativeeffects VR,Naturalness DESKTOP,Naturalness VR,Engagement DESKTOP,Engagement VR,DESKTOP_Roll_RMSE,DESKTOP_Pitch_RMSE,VR_Roll_RMSE,VR_Pitch_RMSE
20211028_pp41_0101,2,22,1,2,1,<undefined>,Dutch,56.8333333333333,56.3333333333333,42.1111111111111,32.1111111111111,70,70,52.36,63.58,2.73684210526316,3.2,2.33333333333333,3,2.6,3.4,3.07692307692308,3.61538461538462,0.0414241599009046,0.0794080061562336,0.0879568822917708,0.0930277881065482
20211028_pp42_0102,1,20,1,2,1,Studdent,Sweden,58.1666666666667,56.6666666666667,42.4444444444444,43,40,40,18.7,48.62,2.73684210526316,3.55,2,2,1.8,3.2,3.38461538461538,3.84615384615385,0.0757648127869192,0.101341433464814,0.031222459407064,0.0365422542486327
20211101_pp43_0201,2,19,1,2,1,student,Italian,17,19,10.1111111111111,3.66666666666667,82.5,87.5,11.22,14.96,2.05,2.78947368421053,2,2.33333333333333,3.2,3.6,2.53846153846154,3.38461538461538,0.122960524108945,0.118529022570931,0.0309406314912052,0.020627617384733
20211101_pp44_0202,2,23,1,2,1,student,Dutch,45.6666666666667,58,33.7777777777778,47.4444444444444,60,52.5,26.18,63.58,2.95,3.31578947368421,2.33333333333333,2.83333333333333,3.2,3.8,3.76923076923077,3.46153846153846,0.0578240777694077,0.0764422180568715,0.0914955921663328,0.148159475294698
20211101_pp45_0101,1,26,2,2,1,Single,Turkish,20,17.5,8.33333333333333,10,60,60,7.48,22.44,1.94736842105263,2.4,1.16666666666667,1.83333333333333,2,3,2.92307692307692,3.46153846153846,0.022461561564661,0.0718251987180316,0.058949037494495,0.137204571737727
20211102_pp46_0102,2,18,1,2,1,Student at the University,American/German,44.6666666666667,46.1666666666667,28.1111111111111,24.5555555555556,82.5,82.5,33.66,52.36,2.05263157894737,3.3,2,2.66666666666667,3.2,3.6,3.92307692307692,3.84615384615385,0.050790623296363,0.0992068801672278,0.0633634589764914,0.0970410619984542
20211102_pp47_0201,1,19,2,1,1,School,Dutch,25.1666666666667,19.1666666666667,25.2222222222222,23.3333333333333,75,82.5,29.92,52.36,2.8,2.78947368421053,2.33333333333333,2.66666666666667,3.6,2.2,2.15384615384615,2.69230769230769,0.0628370797571197,0.111247731851718,0.0326651375659663,0.0775285016284524
20211102_pp48_0202,2,19,1,2,1,Student,Latvia,43.6666666666667,48.8333333333333,23.1111111111111,53.8888888888889,70,57.5,48.62,108.46,3.45,3.21052631578947,2.66666666666667,3.16666666666667,3.8,3.8,4.23076923076923,3.53846153846154,0.0950850357750015,0.0972158661838956,0.199032453452226,0.170423127942076
20211104_pp49_0101,2,19,1,2,1,student,Polish,45.8333333333333,43.8333333333333,29.6666666666667,36.2222222222222,67.5,67.5,18.7,22.44,2.52631578947368,3.15,2.83333333333333,3.66666666666667,3,3.2,3.07692307692308,3.23076923076923,0.114719585971643,0.218718927616621,0.0838145023936285,0.136172854943686
20211104_pp50_0102,1,18,1,2,1,Student,Netherlands,36.6666666666667,38.1666666666667,26.1111111111111,23.7777777777778,67.5,67.5,0,37.4,1.84210526315789,2.45,1.16666666666667,3.16666666666667,2.6,1.8,2.61538461538462,3.30769230769231,0.136453668511533,0.238368345043423,0.0511401539834925,0.0873625410570534
20211104_pp51_0201,1,19,1,1,1,Student,Latvian,16.6666666666667,17.5,9.33333333333333,11.1111111111111,92.5,92.5,0,11.22,2.25,3.31578947368421,1.33333333333333,1.33333333333333,2.8,3.4,3,3.30769230769231,0.0500598522120995,0.0244581204589656,0.0284626647585012,0.03409555705482
20211108_pp53_0101,2,24,1,1,1,Student,Dutch,75,76.3333333333333,67.2222222222222,70.1111111111111,80,80,29.92,142.12,2.52631578947368,3.25,2.16666666666667,4.33333333333333,3.2,3.4,4,3.61538461538462,0.072931078934068,0.110705847732225,0.144181246110138,0.117583899199699
