20.0,10.0,1.0,30.0,10.0,25.0
70.0,55.0,30.0,30.0,75.0,30.0
26.0,17.0,55.0,17.0,48.0,11.0
10.0,10.0,20.0,0.0,8.0,0.0
70.0,17.0,61.0,30.0,50.0,65.0
75.0,19.0,33.0,9.0,61.0,0.0
0.0,0.0,0.0,4.0,0.0,0.0
30.0,9.0,19.0,45.0,52.0,39.0
54.0,3.0,24.0,63.0,55.0,52.0
50.0,70.0,50.0,50.0,80.0,7.0
20.0,10.0,25.0,40.0,50.0,1.0
61.0,42.0,52.0,30.0,52.0,9.0
0.0,0.0,60.0,49.0,82.0,50.0
81.0,29.0,18.0,61.0,80.0,39.0
100.0,95.0,91.0,50.0,90.0,50.0
81.0,41.0,62.0,50.0,81.0,71.0
49.0,50.0,41.0,41.0,56.0,26.0
40.0,65.0,7.0,19.0,61.0,45.0
51.0,13.0,19.0,35.0,60.0,52.0
38.0,0.0,38.0,65.0,77.0,28.0
57.0,4.0,53.0,34.0,41.0,35.0
44.0,15.0,29.0,65.0,57.0,37.0
71.0,30.0,81.0,61.0,92.0,0.0
50.0,20.0,39.0,50.0,0.0,19.0
75.0,55.0,47.0,66.0,72.0,30.0
70.0,50.0,35.0,60.0,85.0,60.0
30.0,15.0,5.0,40.0,55.0,15.0
70.0,10.0,8.0,25.0,50.0,4.0
70.0,16.0,9.0,60.0,40.0,30.0
47.0,61.0,40.0,65.0,48.0,5.0
70.0,80.0,23.0,76.0,81.0,19.0
91.0,30.0,20.0,40.0,81.0,92.0
60.0,29.0,50.0,59.0,81.0,46.0
80.0,50.0,10.0,95.0,10.0,5.0
70.0,7.0,30.0,40.0,70.0,30.0
60.0,30.0,19.0,55.0,75.0,45.0
5.0,6.0,15.0,76.0,70.0,18.0
60.0,50.0,50.0,60.0,67.0,54.0
80.0,80.0,20.0,70.0,89.0,10.0
11.0,11.0,0.0,60.0,20.0,0.0
32.0,20.0,33.0,58.0,70.0,61.0
40.0,30.0,0.0,50.0,0.0,0.0
75.0,28.0,11.0,70.0,80.0,4.0
50.0,10.0,10.0,30.0,50.0,1.0
16.0,56.0,15.0,87.0,71.0,17.0
40.0,18.0,9.0,69.0,78.0,61.0
60.0,20.0,10.0,70.0,50.0,10.0
30.0,15.0,10.0,15.0,25.0,5.0
85.0,70.0,65.0,70.0,85.0,75.0
