75.0,50.0,10.0,40.0,76.0,50.0
80.0,56.0,30.0,50.0,80.0,40.0
43.0,24.0,57.0,9.0,31.0,29.0
29.0,8.0,8.0,71.0,40.0,0.0
61.0,25.0,10.0,71.0,70.0,45.0
85.0,29.0,58.0,40.0,72.0,9.0
60.0,0.0,0.0,8.0,8.0,0.0
40.0,15.0,25.0,61.0,50.0,24.0
26.0,2.0,46.0,30.0,12.0,0.0
56.0,41.0,50.0,85.0,82.0,10.0
60.0,30.0,40.0,50.0,70.0,20.0
11.0,34.0,24.0,10.0,21.0,20.0
25.0,10.0,17.0,83.0,26.0,31.0
75.0,45.0,30.0,90.0,65.0,30.0
100.0,95.0,100.0,70.0,100.0,60.0
83.0,100.0,93.0,74.0,93.0,100.0
39.0,16.0,34.0,38.0,27.0,39.0
30.0,61.0,0.0,60.0,45.0,35.0
54.0,45.0,15.0,75.0,40.0,21.0
67.0,7.0,24.0,0.0,64.0,43.0
73.0,11.0,27.0,74.0,33.0,27.0
15.0,7.0,8.0,25.0,10.0,2.0
92.0,82.0,40.0,19.0,100.0,92.0
60.0,60.0,19.0,65.0,50.0,35.0
100.0,46.0,61.0,74.0,60.0,28.0
85.0,81.0,45.0,60.0,95.0,70.0
40.0,10.0,20.0,65.0,60.0,25.0
55.0,14.0,9.0,18.0,64.0,6.0
81.0,20.0,9.0,10.0,75.0,89.0
65.0,48.0,57.0,40.0,73.0,39.0
60.0,81.0,19.0,100.0,80.0,8.0
30.0,60.0,29.0,89.0,31.0,20.0
75.0,40.0,35.0,30.0,65.0,25.0
70.0,75.0,5.0,95.0,80.0,15.0
30.0,4.0,18.0,10.0,20.0,5.0
80.0,19.0,35.0,40.0,71.0,40.0
45.0,1.0,2.0,66.0,59.0,71.0
54.0,56.0,33.0,86.0,71.0,38.0
88.0,71.0,19.0,70.0,71.0,21.0
15.0,17.0,1.0,70.0,10.0,1.0
70.0,54.0,30.0,60.0,72.0,62.0
20.0,30.0,0.0,25.0,20.0,10.0
79.0,30.0,11.0,77.0,78.0,2.0
50.0,5.0,10.0,20.0,30.0,0.0
64.0,65.0,25.0,18.0,85.0,36.0
40.0,21.0,20.0,70.0,71.0,41.0
72.0,15.0,13.0,85.0,35.0,9.0
30.0,10.0,10.0,20.0,30.0,5.0
93.0,95.0,60.0,56.0,93.0,61.0
