F7,F3,Fz,F4,F8,T7,Cz,T8,P3,Pz,P4,PO7,PO8,Oz
0.145857380746962,0.148915648892945,0.0810802855887545,0.0457102067132581,0.0717876313921716,0.138281425455049,0.102314610539851,0.0458489173101234,0.311399019048782,0.160879764226262,0.0427690229591259,0.166883990963468,0.0868201271294692,0.272736404673499
0.00872261799435179,0.0100325097454442,0.00996875888285649,0.0107995732891307,0.011551030740561,0.028145180765532,0.0107348156907309,0.0114309757185777,0.0117695865890241,0.00995057280669743,0.009504582851518,0.0103297606391705,1.93865870148629,0.0103841019214733
0.197502468560831,0.203580444075817,0.214917857449088,0.213180412752131,0.265238118753125,0.0358783481821837,0.495730826224349,0.322602016295385,0.165781580983719,0.332139532290184,0.696552461681509,0.86519808352852,0.786174115789445,0.141118176919729
0.000759590394339715,0.00467619175867597,0.0125363030768369,0.0149162826123664,0.0450087132217707,0.0204976524465216,0.0178581073850013,0.0936829760591553,0.458666509112813,0.188304998473078,0.0500013759056308,0.0565415411021159,0.151786282278164,0.0142582220329302
0.225829470327452,0.146708872013632,0.146424478064791,0.116722126334248,0.122299502845805,0.234574193929755,0.14549701528319,0.032973548921281,0.11823942835446,0.116860998625115,0.145411429783413,0.0562882957931247,0.354592084876009,0.160443251655443
0.150804983864573,0.194865447405423,0.1743064394023,0.24302875946721,0.082910434750432,0.474901890227399,0.183290473154951,0.0986354743929569,0.0505275832567369,0.213630693579854,0.418645860662763,0.427668851816191,0.0871247583801149,0.128459210859033
0.00588250024412859,0.00528798051905926,0.00736456844363885,0.0101768439389752,0.0220820017240069,0.0153510237018125,0.0241153756356259,0.179545376922825,0.046416735300389,0.0185183550032034,0.0143298940986469,0.0277871669803159,0.233384778416944,0.194757160756679
0.126957805802842,0.0631829354805719,0.0878250172731013,0.0732059702469024,0.0420731660277339,0.48900474752276,0.130583637355128,0.0666268685132963,0.129719474834263,0.112897489012655,0.120665598685486,0.364929822132964,0.162270120384935,0.148682042170885
0.0393107221778265,0.0617305353831082,0.101524879367055,0.0710367923019634,0.0129675663061765,0.0131313288183978,0.142210839766361,0.0448009771528929,0.0682670408044713,0.134458149277306,0.0715290349179419,0.209464556080965,0.0853911273110795,0.106076062228132
0.100166950380427,0.114540531921217,0.148827727023412,0.122003712304254,0.0639223699907029,0.0931489644947245,0.150839869170151,0.0863597059965255,0.219258534123823,0.201149276909994,0.337424039012937,0.44514480246522,1.01121346565767,0.678084425212961
0.168318843669032,0.135940817014075,0.118083893432859,0.0945304991963713,0.134730170655819,0.0455339326496438,0.179471673936605,0.152955498580073,0.124886430256539,0.224173852502231,0.171503685636898,0.614532266856647,0.482238826324576,0.0938993088788115
0.0348839878734353,0.0679952802729688,0.016866054624494,0.0232781429731348,0.0313316000076133,0.288079495814502,0.153367360003413,0.00313798763331157,0.05782202724566,0.0557463911472261,0.0363759931453585,0.0693347799171796,0.0912798321840999,0.0334263069355533
0.820275110493985,0.0633013814103403,0.113833142238164,0.0691703060890999,0.00988468430317658,0.164076221637986,0.123976281824144,0.0491531247710171,0.259073600635192,0.185684775022252,0.109151986898112,1.18730368888576,0.806962850237957,6.4529161846175
